variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
audiology-france::print,AUDIOLOGY FRANCE,audiology-france,Print,4 Numéros / an,3000,210 x 297,,,,5100 €,3468 €
autocar-et-bus-infos::print,AUTOCAR ET BUS INFOS,autocar-et-bus-infos,Print,Mensuel,20000,210 x 297,,,,5000 €,3400 €
bardage-info::print,BARDAGE INFO,bardage-info,Print,2 Numéros / an,12000,210 x 297,,,,5187 €,3527 €
batiactu::print,BATIACTU,batiactu,Print,Trimestriel,20000,210 x 270,,,,9950 €,6766 €
batiment-entretien::print,BATIMENT ENTRETIEN,batiment-entretien,Print,Bimestriel,13195,210 x 297,,,,4590 €,3121 €
batimetiers::print,BATIMETIERS,batimetiers,Print,Trimestriel,57000,215 x 290,,,,10500 €,7140 €
be-a-boss::print,BE A BOSS,be-a-boss,Print,Bimestriel,80000,210 x 280,,,,11200 €,7616 €
beauty-forum::print,BEAUTY FORUM,beauty-forum,Print,Bimestriel,8000,210 x 297,,,,3600 €,2448 €
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,betteravier-fran-ais,Print,Mensuel,14713,280 x 350,,,,9980 €,6786 €
biblond::print,BIBLOND,biblond,Print,7 Numéros / an,30000,210 x 297,,,,6600 €,4488 €
biofil::print,BIOFIL,biofil,Print,Bimestriel,10000,210 x 297,,,,6980 €,4746 €
biologiste-infos::print,BIOLOGISTE INFOS,biologiste-infos,Print,Bimestriel,6500,210 x 297,,,,7800 €,5304 €
bois-mag::print,BOIS MAG,bois-mag,Print,Mensuel,20000,210 x 297,,,,11276 €,7668 €
bois::print,BOIS +,bois,Print,Mensuel,16000,230 x 297,,,,2600 €,1768 €
bra-boisson-restauration-actualites-nouveau-nom-tendances-restauration::print,BRA (BOISSON RESTAURATION ACTUALITES) NOUVEAU NOM : TENDANCES RESTAURATION,bra-boisson-restauration-actualites-nouveau-nom-tendances-restauration,Print,9 Numéros / an,19000,210 x 297,,,,6100 €,4148 €
btp-magazine::print,BTP MAGAZINE,btp-magazine,Print,Mensuel,20000,195 x 260,,,,7000 €,4760 €
c-est-a-vous::print,C'EST A VOUS!,c-est-a-vous,Print,Bimestriel,10000,,,,,7300 €,4964 €
cad-magazine::print,CAD MAGAZINE,cad-magazine,Print,Bimestriel,9000,210 x 297,,,,4500 €,3060 €
cahiers-de-nutrition-et-de-dietetique::print,CAHIERS DE NUTRITION ET DE DIETETIQUE,cahiers-de-nutrition-et-de-dietetique,Print,Bimestriel,4000,210 x 280,,,,5450 €,3706 €
cahiers-du-tourisme-et-du-fleurissement::print,CAHIERS DU TOURISME ET DU FLEURISSEMENT,cahiers-du-tourisme-et-du-fleurissement,Print,Bimestriel,15000,210 x 297,,,,3860 €,2625 €
caps-infos::print,CAPS INFOS,caps-infos,Print,Mensuel,9000,230 x 310,,,,4500 €,3060 €
cardiologie-pratique::print,CARDIOLOGIE PRATIQUE,cardiologie-pratique,Print,Bimensuel,9761,290 x 430,,,,9600 €,6528 €
carrosserie::print,CARROSSERIE,carrosserie,Print,Mensuel,8500,210 x 297,,,,3900 €,2652 €
cavistes-et-e-commerce::print,CAVISTES ET E-COMMERCE,cavistes-et-e-commerce,Print,Trimestriel,12000,,,,,6250 €,4250 €
cb-news::print,CB NEWS,cb-news,Print,Mensuel,7500,230 x 310,,,,3000 €,2040 €
cem-controles-essais-mesures::print,CEM (CONTROLES ESSAIS MESURES),cem-controles-essais-mesures,Print,Trimestriel,8000,210 x 297,,,,3800 €,2584 €
centres-aquatiques::print,CENTRES AQUATIQUES,centres-aquatiques,Print,Bimestriel,5535,210 x 297,,,,2050 €,1394 €
cerveau-psycho::print,CERVEAU & PSYCHO,cerveau-psycho,Print,Mensuel,58000,205 x 265,,,,8000 €,5440 €
chantiers-de-france::print,CHANTIERS DE FRANCE,chantiers-de-france,Print,Mensuel,6000,210 x 290,,,,9425 €,6409 €
charcuterie-gastronomie::print,CHARCUTERIE & GASTRONOMIE,charcuterie-gastronomie,Print,Mensuel,6000,200 x 270,,,,3475 €,2363 €
chaud-froid-performance::print,CHAUD FROID PERFORMANCE,chaud-froid-performance,Print,Mensuel,15000,210 x 297,,,,6720 €,4570 €
chocolat-confiserie-et-glace-magazine::print,CHOCOLAT CONFISERIE ET GLACE MAGAZINE,chocolat-confiserie-et-glace-magazine,Print,5 Numéros / an,2000,230 x 300,,,,2500 €,1700 €
conquerir::print,CONQUERIR,conquerir,Print,8 Numéros / an,18200,210 x 280,,,,5220 €,3550 €
construction-urbanisme::print,CONSTRUCTION URBANISME,construction-urbanisme,Print,Mensuel,2000,185 x 260,,,,1600 €,1088 €
copropriete-travaux::print,COPROPRIETE & TRAVAUX,copropriete-travaux,Print,Trimestriel,15000,230 x 300,,,,5800 €,3944 €
cosmetique-magazine::print,COSMETIQUE MAGAZINE,cosmetique-magazine,Print,Mensuel,9500,210 x 280,,,,9500 €,6460 €
culture-legumiere::print,CULTURE LEGUMIERE,culture-legumiere,Print,Bimestriel,9600,200 x 270,,,,2970 €,2020 €
cultures-marines::print,CULTURES MARINES,cultures-marines,Print,Mensuel,1200,210 x 297,,,,3370 €,2292 €
d-architecture::print,D'ARCHITECTURE,d-architecture,Print,Mensuel,10000,230 x 300,,,,7600 €,5168 €
d-o-actualites::print,D.O ACTUALITES,d-o-actualites,Print,Hebdomadaire,1500,210 x 297,,,,2500 €,1700 €
daf-mag::print,DAF MAG,daf-mag,Print,Trimestriel,9000,210 x 280,,,,7000 €,4760 €
decideurs-magazine::print,DECIDEURS MAGAZINE,decideurs-magazine,Print,Mensuel,35000,210 x 297,,,,6500 €,4420 €
decision-achats::print,DECISION ACHATS,decision-achats,Print,7 Numéros / an,39000,210 x 280,,,,7000 €,4760 €
decisions-hpa::print,DECISIONS HPA,decisions-hpa,Print,Mensuel,10000,250 x 340,,,,2500 €,1700 €
defrenois::print,DEFRENOIS,defrenois,Print,Hebdomadaire,7500,220 x 307,,,,3134 €,2131 €
dentaire-365-orthodontie::print,DENTAIRE 365 ORTHODONTIE,dentaire-365-orthodontie,Print,4 Numéros / an,,,,,,pas de tarif,pas de tarif
dentaire-365::print,DENTAIRE 365,dentaire-365,Print,16 Numéros / an,24829,210 x 297,,,,6300 €,4284 €
dermato-mag::print,DERMATO MAG,dermato-mag,Print,Trimestriel,2000,210 x 297,,,,3400 €,2312 €
dermatologie-pratique::print,DERMATOLOGIE PRATIQUE,dermatologie-pratique,Print,Mensuel,4933,290 x 430,,,,9600 €,6528 €
destination-climat::print,DESTINATION CLIMAT,destination-climat,Print,Trimestriel,20000,210 x 270,,,,3500 €,2380 €
diabete-et-obesite::print,DIABETE ET OBESITE,diabete-et-obesite,Print,Mensuel,3000,210 x 297,,,,8000 €,5440 €
diabetologie-pratique::print,DIABETOLOGIE PRATIQUE,diabetologie-pratique,Print,5 Numéros / an,8799,290 x 430,,,,9600 €,6528 €
direction-s::print,DIRECTION(S),direction-s,Print,Mensuel,8700,210 x 297,,,,3800 €,2584 €
direction::print,DIRECTION,direction,Print,Bimestriel,12000,140 x 205,,,,2350 €,1598 €
droit-de-la-famille::print,DROIT DE LA FAMILLE,droit-de-la-famille,Print,Mensuel,1200,210 x 297,,,,1600 €,1088 €
droit-patrimoine::print,DROIT & PATRIMOINE,droit-patrimoine,Print,Mensuel,5000,210 x 297,,,,1600 €,1088 €
droit-penal::print,DROIT PENAL,droit-penal,Print,Mensuel,1100,210 x 297,,,,1600 €,1088 €
dynamique-entrepreneuriale::print,DYNAMIQUE ENTREPRENEURIALE,dynamique-entrepreneuriale,Print,Bimestriel,68000,194 x 260,,,,15000 €,10200 €
eco-reseau::print,ECO RESEAU,eco-reseau,Print,Mensuel,35000,265 x 336,,,,11900 €,8092 €
ecommerce::print,ECOMMERCE,ecommerce,Print,4 Numéros / an,11500,210 x 280,,,,7000 €,4760 €
educ-mag::print,EDUC'MAG,educ-mag,Print,Trimestriel,73294,,,,,8900 €,6052 €
egora::print,EGORA,egora,Print,Bimensuel,22000,210 x 270,,,,15200 €,10336 €
electricien::print,ELECTRICIEN +,electricien,Print,Bimestriel,5000,210 x 297,,,,3400 €,2312 €
electroniques::print,ELECTRONIQUES,electroniques,Print,Mensuel,10000,210 x 297,,,,8600 €,5848 €
emarketing::print,EMARKETING,emarketing,Print,4 Numéros / an,13500,210 x 280,,,,7500 €,5100 €
energie-plus::print,ENERGIE PLUS,energie-plus,Print,Bimensuel,2500,210 x 270,,,,5295 €,3601 €
entreprendre::print,ENTREPRENDRE,entreprendre,Print,Mensuel,35000,195 x 260,,,,7800 €,5304 €
entrepreneurs-des-territoires::print,ENTREPRENEURS DES TERRITOIRES,entrepreneurs-des-territoires,Print,8 Numéros / an,20000,210 x 297,,,,6400 €,4352 €
entretien-textile::print,ENTRETIEN TEXTILE,entretien-textile,Print,Bimestriel,11767,210 x 297,,,,3500 €,2380 €
envies-nomades::print,ENVIES NOMADES,envies-nomades,Print,Bi annuel,15000,240 x 310,,,,4900 €,3332 €
environnement-et-risques-sante::print,ENVIRONNEMENT ET RISQUES SANTE,environnement-et-risques-sante,Print,Bimestriel,1400,210 x 270,,,,4400 €,2992 €
environnement-magazine::print,ENVIRONNEMENT MAGAZINE,environnement-magazine,Print,Mensuel,5775,195 x 260,,,,7000 €,4760 €
espace-public-paysage::print,ESPACE PUBLIC & PAYSAGE,espace-public-paysage,Print,Bimestriel,5675,210 x 297,,,,3860 €,2625 €
essor-de-la-gendarmerie-nationale::print,ESSOR DE LA GENDARMERIE NATIONALE,essor-de-la-gendarmerie-nationale,Print,Mensuel,16000,210 x 280,,,,5200 €,3536 €
estetica::print,ESTETICA,estetica,Print,7 Numéros / an,13000,226 x 298,,,,3400 €,2312 €
etancheite-info::print,ETANCHEITE.INFO,etancheite-info,Print,Trimestriel,11500,210 x 297,,,,5187 €,3527 €
europe-parlementaire::print,EUROPE PARLEMENTAIRE,europe-parlementaire,Print,Trimestriel,15000,210 x 297,,,,5000 €,3400 €
exe::print,EXE,exe,Print,Trimestriel,8000,232 x 300,,,,6300 €,4284 €
expression-cosmetique::print,EXPRESSION COSMETIQUE,expression-cosmetique,Print,Bimestriel,5000,210 x 270,,,,6020 €,4094 €
expressions-pharma::print,EXPRESSIONS PHARMA,expressions-pharma,Print,Mensuel,16000,210 x 270,,,,8000 €,5440 €
fenetres-s-cours::print,FENETRES S/ COURS,fenetres-s-cours,Print,Mensuel,120000,148 x 210,,,,7300 €,4964 €
filieres-avicoles::print,FILIERES AVICOLES,filieres-avicoles,Print,Mensuel,6450,210 x 285,,,,3900 €,2652 €
flottes-automobiles::print,FLOTTES AUTOMOBILES,flottes-automobiles,Print,Mensuel,21000,240 x 340,,,,9900 €,6732 €
fluides-et-transmissions::print,FLUIDES ET TRANSMISSIONS,fluides-et-transmissions,Print,7 Numéros / an,6000,230 x 330,,,,3250 €,2210 €
france-pizza::print,FRANCE PIZZA,france-pizza,Print,Bimestriel,15000,210 x 297,,,,4400 €,2992 €
france-routes::print,FRANCE ROUTES,france-routes,Print,Mensuel,11155,210 x 297,,,,6500 €,4420 €
froid-news::print,FROID NEWS,froid-news,Print,Bimestriel,8800,210 x 297,,,,2990 €,2033 €
funds-magazine::print,FUNDS MAGAZINE,funds-magazine,Print,Mensuel,6500,204 x 280,,,,7700 €,5236 €
funeraire-magazine::print,FUNERAIRE MAGAZINE,funeraire-magazine,Print,Mensuel,3000,210 x 297,,,,1525 €,1037 €
genie-climatique::print,GENIE CLIMATIQUE,genie-climatique,Print,Bimestriel,12000,210 x 270,,,,6487 €,4411 €
geriatrie-et-psychologie-neuropsychiatrie-du-vieillissement::print,GERIATRIE ET PSYCHOLOGIE NEUROPSYCHIATRIE DU VIEILLISSEMENT,geriatrie-et-psychologie-neuropsychiatrie-du-vieillissement,Print,Trimestriel,2000,210 x 270,,,,5700 €,3876 €
geroscopie::print,GEROSCOPIE,geroscopie,Print,Mensuel,9000,210 x 270,,,,5100 €,3468 €
gestion-de-fortune::print,GESTION DE FORTUNE,gestion-de-fortune,Print,Mensuel,30000,265 X 200,,,,7600 €,5168 €
gestions-hospitalieres::print,GESTIONS HOSPITALIERES,gestions-hospitalieres,Print,Mensuel,1500,210 x 297,,,,4080 €,2774 €
grandes-cuisines::print,GRANDES CUISINES,grandes-cuisines,Print,Trimestriel,5000,210 x 297,,,,4300 €,2924 €
green-innovation::print,GREEN INNOVATION,green-innovation,Print,Trimestriel,23000,210 x 297,,,,11000 €,7480 €
green-touch::print,GREEN TOUCH,green-touch,Print,10 Numéros / an,20000,210 x 297,,,,11000 €,7480 €
gynecologie-obstetrique-pratique::print,GYNECOLOGIE OBSTETRIQUE PRATIQUE,gynecologie-obstetrique-pratique,Print,Mensuel,9331,295 x 440,,,,9600 €,6528 €
hematologie::print,HEMATOLOGIE,hematologie,Print,Bimestriel,1500,210 x 270,,,,7000 €,4760 €
hepato-gastro-et-oncologie-digestive::print,HEPATO GASTRO ET ONCOLOGIE DIGESTIVE,hepato-gastro-et-oncologie-digestive,Print,Mensuel,4000,210 x 270,,,,5800 €,3944 €
honore-le-mag::print,HONORE LE MAG,honore-le-mag,Print,Bimestriel,14000,210 x 297,,,,3850 €,2618 €
hospitality-on::print,HOSPITALITY ON,hospitality-on,Print,Mensuel,7000,210 x 297,,,,5000 €,3400 €
hydrogenium::print,HYDROGENIUM,hydrogenium,Print,Trimestriel,15000,210 x 297,,,,7000 €,4760 €
hydroplus::print,HYDROPLUS,hydroplus,Print,5 Numéros / an,5410,195 x 260,,,,7000 €,4760 €
images-en-dermatologie::print,IMAGES EN DERMATOLOGIE,images-en-dermatologie,Print,Bimestriel,4000,,,,,8700 €,5916 €
images-en-ophtalmologie::print,IMAGES EN OPHTALMOLOGIE,images-en-ophtalmologie,Print,Bimestriel,5500,,,,,8700 €,5916 €
industries-cosmetiques::print,INDUSTRIES COSMETIQUES,industries-cosmetiques,Print,Trimestriel,6000,210 x 297,,,,3990 €,2713 €
inffo-formation::print,INFFO FORMATION,inffo-formation,Print,Bimensuel,1106,,,,,2915 €,1982 €
info-cyber-risques::print,INFO CYBER RISQUES,info-cyber-risques,Print,Trimestriel,5000,210 x 297,,,,3200 €,2176 €
infoburomag::print,INFOBUROMAG,infoburomag,Print,Bimestriel,6000,210 x 270,,,,7137 €,4853 €
innovation-et-therapeutiques-en-oncologie::print,INNOVATION ET THERAPEUTIQUES EN ONCOLOGIE,innovation-et-therapeutiques-en-oncologie,Print,Bimestriel,2500,210 x 270,,,,5800 €,3944 €
intramuros::print,INTRAMUROS,intramuros,Print,Trimestriel,15000,220 x 300,,,,6500 €,4420 €
investissement-conseils::print,INVESTISSEMENT CONSEILS,investissement-conseils,Print,Mensuel,21000,210 x 280,,,,9170 €,6236 €
it-for-business::print,IT FOR BUSINESS,it-for-business,Print,Mensuel,14880,210 x 297,,,,6200 €,4216 €
j2r::print,J2R,j2r,Print,Mensuel,21000,210 x 297,,,,5890 €,4005 €
j3e::print,J3E,j3e,Print,Mensuel,4000,210 x 297,,,,3400 €,2312 €
jautomatise::print,JAUTOMATISE,jautomatise,Print,Bimestriel,9000,210 x 297,,,,3400 €,2312 €
journal-d-imagerie-diagnostique::print,JOURNAL D'IMAGERIE DIAGNOSTIQUE,journal-d-imagerie-diagnostique,Print,Bimestriel,6900,210 x 280,,,,8240 €,5603 €
journal-de-chirurgie-viscerale::print,JOURNAL DE CHIRURGIE VISCERALE,journal-de-chirurgie-viscerale,Print,Bimestriel,2400,210 x 297,,,,6580 €,4474 €
journal-de-l-assemblee-de-liaison::print,JOURNAL DE L'ASSEMBLEE DE LIAISON,journal-de-l-assemblee-de-liaison,Print,Bi annuel,14210,210 x 297,,,,4600 €,3128 €
journal-de-pharmacie-clinique::print,JOURNAL DE PHARMACIE CLINIQUE,journal-de-pharmacie-clinique,Print,Trimestriel,1000,210 x 270,,,,6100 €,4148 €
journal-des-communes::print,JOURNAL DES COMMUNES,journal-des-communes,Print,Bimestriel,9000,210 x 270,,,,4500 €,3060 €
journal-des-entreprises::print,JOURNAL DES ENTREPRISES,journal-des-entreprises,Print,Mensuel,57150,210 x 297,,,,22000 €,14960 €
journal-des-maires::print,JOURNAL DES MAIRES,journal-des-maires,Print,Mensuel,9033,180 x 245,,,,4100 €,2788 €
journal-du-parlement::print,JOURNAL DU PARLEMENT,journal-du-parlement,Print,Trimestriel,8000,240 x 320,,,,7500 €,5100 €
journal-du-pneumatique::print,JOURNAL DU PNEUMATIQUE,journal-du-pneumatique,Print,Bimestriel,6000,297 x 210,,,,4000 €,2720 €
journal-fran-ais-d-ophtalmologie::print,JOURNAL FRANÇAIS D'OPHTALMOLOGIE,journal-fran-ais-d-ophtalmologie,Print,Mensuel,5900,210 x 280,,,,9390 €,6385 €
journal-market::print,JOURNAL MARKET,journal-market,Print,Mensuel,8000,230 x 300,,,,2500 €,1700 €
kine-actualite::print,KINE ACTUALITE,kine-actualite,Print,Bimensuel,7200,208 x 265,,,,4525 €,3077 €
kinesitherapie-la-revue::print,KINESITHERAPIE LA REVUE,kinesitherapie-la-revue,Print,Mensuel,7470,210 x 280,,,,5450 €,3706 €
kinesitherapie-scientifique::print,KINESITHERAPIE SCIENTIFIQUE,kinesitherapie-scientifique,Print,Mensuel,4500,210 x 297,,,,1830 €,1244 €
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,l-activite-immobiliere,Print,Mensuel,7000,210 x 297,,,,3300 €,2244 €
l-antenne::print,L'ANTENNE,l-antenne,Print,Mensuel,10000,230 x 330,,,,5000 €,3400 €
l-assmat::print,L'ASSMAT,l-assmat,Print,Bimestriel,20000,210 x 297,,,,2800 €,1904 €
l-autre-cuisine::print,L'AUTRE CUISINE,l-autre-cuisine,Print,Trimestriel,15000,210 x 290,,,,5500 €,3740 €
l-auvergnat-de-paris::print,L'AUVERGNAT DE PARIS,l-auvergnat-de-paris,Print,Hebdomadaire,10200,220 x 280,,,,2850 €,1938 €
l-eclaireur-des-coiffeurs::print,L'ECLAIREUR DES COIFFEURS,l-eclaireur-des-coiffeurs,Print,Bimestriel,25000,207 x 270,,,,5600 €,3808 €
l-eleveur-lapin::print,L'ELEVEUR LAPIN,l-eleveur-lapin,Print,2 Numéros / an,1527,,,,,2550 €,1734 €
l-enseignant::print,L'ENSEIGNANT,l-enseignant,Print,Bimestriel,53719,210 x 297,,,,9250 €,6290 €
l-essentiel-de-l-optique::print,L'ESSENTIEL DE L'OPTIQUE,l-essentiel-de-l-optique,Print,Mensuel,12000,210 x 297,,,,6700 €,4556 €
l-essentiel::print,L'ESSENTIEL,l-essentiel,Print,Hebdomadaire (chaque jeudi),5000,206 x 265,,,,4400 €,2992 €
l-hemicyle::print,L'HEMICYLE,l-hemicyle,Print,Trimestriel,5000,210 x 280,,,,6900 €,4692 €
l-hotellerie-restauration::print,L'HOTELLERIE RESTAURATION ,l-hotellerie-restauration,Print,Mensuel,40000,240 x 335,,,,7800 €,5304 €
l-industrie-hoteliere::print,L'INDUSTRIE HOTELIERE,l-industrie-hoteliere,Print,9 Numéros / an,17000,210 x 297,,,,5200 €,3536 €
l-infirmiere-magazine::print,L'INFIRMIERE MAGAZINE,l-infirmiere-magazine,Print,Mensuel,40000,210 x 297,,,,8100 €,5508 €
l-informaticien::print,L'INFORMATICIEN,l-informaticien,Print,Mensuel,12000,210 x 297,,,,3800 €,2584 €
l-information-dentaire::print,L'INFORMATION DENTAIRE,l-information-dentaire,Print,Hebdomadaire (chaque mercredi),9177,210 x 270,,,,4850 €,3298 €
l-information-psychiatrique::print,L'INFORMATION PSYCHIATRIQUE,l-information-psychiatrique,Print,Mensuel,3000,210 x 297,,,,5400 €,3672 €
l-installateur::print,L'INSTALLATEUR,l-installateur,Print,Mensuel,24000,240 x 310,,,,7930 €,5392 €
l-officiel-des-cuisinistes::print,L'OFFICIEL DES CUISINISTES,l-officiel-des-cuisinistes,Print,Mensuel,6000,230 x 300,,,,2500 €,pas de tarif
l-officiel-des-terrains-de-camping::print,L'OFFICIEL DES TERRAINS DE CAMPING,l-officiel-des-terrains-de-camping,Print,Mensuel,8000,218 x 292,,,,2990 €,2033 €
l-officiel-des-transporteurs::print,L'OFFICIEL DES TRANSPORTEURS,l-officiel-des-transporteurs,Print,Mensuel,4500,210 x 297,,,,6500 €,4420 €
l-opticien-lunetier::print,L'OPTICIEN LUNETIER,l-opticien-lunetier,Print,Mensuel,5000,205 x 270,,,,3780 €,2570 €
l-ouie-magazine::print,L'OUIE MAGAZINE,l-ouie-magazine,Print,Bimestriel,3000,205 x 270,,,,3050 €,2074 €
la-boucherie-francaise::print,LA BOUCHERIE FRANCAISE,la-boucherie-francaise,Print,Mensuel,10000,275 x 380,,,,6330 €,4304 €
la-classe-maternelle::print,LA CLASSE MATERNELLE,la-classe-maternelle,Print,Mensuel,12000,168 x 235,,,,3360 €,2285 €
la-classe::print,LA CLASSE,la-classe,Print,Mensuel,11200,168 x 235,,,,3240 €,2203 €
la-cuisine-pro-la-rpf::print,LA CUISINE PRO (LA RPF),la-cuisine-pro-la-rpf,Print,4 Numéros / an,5500,230 x 300,,,,5291 €,3598 €
la-depeche-veterinaire::print,LA DEPECHE VETERINAIRE,la-depeche-veterinaire,Print,Hebdomadaire,3353,240 x 340,,,,3980 €,2706 €
la-depeche::print,LA DEPECHE,la-depeche,Print,Hebdomadaire,2750,200 x 285,,,,2580 €,1754 €
la-france-agricole::print,LA FRANCE AGRICOLE,la-france-agricole,Print,Hebdomadaire (chaque vendredi),102552,200 x 270,,,,17800 €,12104 €
la-gazette-du-laboratoire::print,LA GAZETTE DU LABORATOIRE,la-gazette-du-laboratoire,Print,Mensuel,8000,210 x 310,,,,3690 €,2509 €
la-gazette-du-palais::print,LA GAZETTE DU PALAIS,la-gazette-du-palais,Print,Hebdomadaire,9000,220 x 307,,,,2110 €,1435 €
la-lettre-du-cancerologue::print,LA LETTRE DU CANCEROLOGUE,la-lettre-du-cancerologue,Print,Mensuel,3500,,,,,8700 €,5916 €
la-lettre-du-cardiologue::print,LA LETTRE DU CARDIOLOGUE,la-lettre-du-cardiologue,Print,Mensuel,7000,,,,,8700 €,5916 €
la-lettre-du-gynecologue::print,LA LETTRE DU GYNECOLOGUE,la-lettre-du-gynecologue,Print,Bimestriel,7500,,,,,8700 €,5916 €
la-lettre-du-neurologue::print,LA LETTRE DU NEUROLOGUE,la-lettre-du-neurologue,Print,Mensuel,3000,,,,,8700 €,5916 €
la-lettre-du-psychiatre::print,LA LETTRE DU PSYCHIATRE,la-lettre-du-psychiatre,Print,Trimestriel,7000,,,,,8700 €,5916 €
la-lettre-du-rhumatologue::print,LA LETTRE DU RHUMATOLOGUE,la-lettre-du-rhumatologue,Print,Mensuel,3000,,,,,8700 €,5916 €
la-profession-comptable::print,LA PROFESSION COMPTABLE,la-profession-comptable,Print,Mensuel,6000,210 x 280,,,,1410 €,959 €
la-revue-administration-intendance::print,LA REVUE ADMINISTRATION & INTENDANCE,la-revue-administration-intendance,Print,Trimestriel,15000,210 x 297,,,,2400 €,1632 €
la-revue-de-l-infirmiere::print,LA REVUE DE L'INFIRMIERE,la-revue-de-l-infirmiere,Print,Mensuel,35000,210 x 297,,,,9390 €,6385 €
la-revue-des-opticiens::print,LA REVUE DES OPTICIENS,la-revue-des-opticiens,Print,Mensuel,5000,230 x 300,,,,4000 €,2720 €
la-revue-des-tabacs::print,LA REVUE DES TABACS,la-revue-des-tabacs,Print,Mensuel,20000,210 x 297,,,,7560 €,5141 €
la-revue-du-praticien-medecine-generale::print,"LA REVUE DU PRATICIEN, MEDECINE GENERALE",la-revue-du-praticien-medecine-generale,Print,Mensuel,16000,210 x 270,,,,8400 €,5712 €
la-revue-du-praticien::print,LA REVUE DU PRATICIEN,la-revue-du-praticien,Print,Mensuel,12000,210 x 270,,,,7100 €,4828 €
la-revue-du-trombinoscope::print,LA REVUE DU TROMBINOSCOPE,la-revue-du-trombinoscope,Print,Mensuel,15300,210 x 297,,,,7900 €,5372 €
la-revue-fiscale-du-patrimoine::print,LA REVUE FISCALE DU PATRIMOINE,la-revue-fiscale-du-patrimoine,Print,Mensuel,1100,210 x 297,,,,1600 €,1088 €
la-revue-generale-des-chemins-de-fer::print,LA REVUE GENERALE DES CHEMINS DE FER,la-revue-generale-des-chemins-de-fer,Print,Mensuel,2000,210 x 297,,,,2500 €,1700 €
la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf::print,LA REVUE PRATIQUE DU FROID ET DU CONDITIONNEMENT D'AIR (LA RPF),la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf,Print,Mensuel,5600,230 x 300,,,,5330 €,3624 €
la-revue-scolaire-et-universitaire::print,LA REVUE SCOLAIRE ET UNIVERSITAIRE,la-revue-scolaire-et-universitaire,Print,Bimestriel,2950,210 x 297,,,,10900 €,7412 €
