support,support_slug,categorie,lectorat,canal,NEW_01_Supports_Variants 2
D'ARCHITECTURE,d-architecture,Architecture - Urbanisme,"73% maîtres d'œuvre, architectes, architectes d'intérieur, bureaux d'études, urbanistes et paysagistes, 8% étudiants et enseignants, 6% Maîtres d'ouvrage, 13% institutions","Print,Web,NL","d-architecture::print,d-architectures::web::728x90-250x250mobile,d-architectures::nl"
D.O ACTUALITES,d-o-actualites,Professionnels de la finance,"Experts-comptables, conseils en gestion, directeurs juridiques, DAF",Print,d-o-actualites::print
DAF MAG,daf-mag,Professionnels de la finance,"82% Décideurs Financiers (DAF, RAF, CFO…) et 18% Autres (Experts-comptables, consultants…)","Print,Web,NL","daf-mag::print,daf-mag::web::1000x90-300x600-300x250mobile,daf-mag::nl"
DECIDEURS MAGAZINE,decideurs-magazine,Dirigeants de TPE/PME,"30% cadres dirigeants et services généraux, 30% conseil (RH, marketing, droit), 25% dirigeants d'entreprise, 12% banques / finance / fonds d'investissement, 3% institutionnels et élus",Print,decideurs-magazine::print
DECIDEURS STRATEGIE FINANCE ET DROIT,decideurs-strategie-finance-et-droit,Dirigeants de TPE/PME,"Dirigeants d'entreprises, conseil et droit, directeurs juridiques et fiscaux","Web,NL","decideurs-strategie-finance-et-droit::web::1002x128floorad-300x600-300x250mobile,decideurs-strategie-finance-et-droit::nl"
DECISION  ACHATS,decision-achats,Direction Achat,"Directeurs achats, responsables services généraux, PDG/DG",Print,decision-achats::print
DECISIONS HPA,decisions-hpa,Tourisme,Décideurs de l'hôtellerie de plein air,"Print,Web,NL","decisions-hpa::print,decisions-hpa::web::300x250,decisions-hpa::web::728x90floorad,decisions-hpa::nl"
DEFRENOIS,defrenois,Notaires,Notaires,Print,defrenois::print
DENTAIRE 365,dentaire-365,Dentistes,Chirurgiens-dentistes,Print,dentaire-365::print
DENTAIRE 365 ORTHODONTIE,dentaire-365-orthodontie,Dentistes,Chirurgiens-dentistes,Print,dentaire-365-orthodontie::print
DERMATO MAG,dermato-mag,Dermatologie,Revue de la Fédération française de Formation Continue et d'Evaluation en Dermatologie Vénéréologie. Cible: dermatologues libéraux et mixtes,Print,dermato-mag::print
DERMATOLOGIE PRATIQUE,dermatologie-pratique,Dermatologie,"Dermatologues Libéraux et Hospitaliers, Médecins Généralistes à tendance dermatologie",Print,dermatologie-pratique::print
DESTINATION CLIMAT,destination-climat,Environnement,"Chefs d'entreprise, cadres supérieurs, salariés de la fonction publique",Print,destination-climat::print
DEVELOPPEZ,developpez,Direction informatique,"Développeurs, ingénieurs IT, chefs de projets, DevOps, DI, DSI",Web,developpez::web::729x90-300x600
