support,support_slug,categorie,lectorat,canal,NEW_01_Supports_Variants 2
LETTRE M2,lettre-m2,Immobilier,"30% Investisseurs, Asset managers, Property managers, 26% Conseils, 19% Promoteurs/Constructeurs/AMO, MOE, Entreprises du bâtiment, 15% Experts en évaluation, 6% Collectivités territoriales/Utilisateurs/Autres, 4% Financeurs",Print,lettre-m2::print
LINEAIRES,lineaires,Commerce de Gros & Distributeurs,Professionnels de la distribution alimentaire,"Print,Web,NL","lineaires::print,lineaires::web::300x250,lineaires::web::728x90-320x50mobile,lineaires::nl"
LIVRES HEBDO,livres-hebdo,Distribution Spécialisée,"Maisons d'édition, libraires, bibliothèque","Print,Web,NL","livres-hebdo::print,livres-hebdo::web::300x600-300x250mobile,livres-hebdo::nl"
LJA (LA LETTRE DES JURISTES D'AFFAIRES),lja-la-lettre-des-juristes-d-affaires,Professionnels du droit,Grands cabinets d’avocats et directions juridiques d’entreprise,Print,lja-la-lettre-des-juristes-d-affaires::print
LJA LE MAGAZINE,lja-le-magazine,Professionnels du droit,Grands cabinets d’avocats et directions juridiques d’entreprise,Print,lja-le-magazine::print
LOYERS ET COPROPRIETE,loyers-et-copropriete,Immobilier,"Avocats, Agences immobilières, Sociétés d'investissement immobilier, Notaires, Huissiers, Juristes d'établissements publics locaux et de syndicats professionnels",Print,loyers-et-copropriete::print
LUMIERES,lumieres,Bâtiment - Artisanat,"Architectes, bureaux d'études, installateurs et exloitants,",Print,lumieres::print
LUX LA REVUE DE L'ECLAIRAGE,lux-la-revue-de-l-eclairage,Bâtiment - Artisanat,"Prescripteurs (promoteurs, collectivités locales, maîtres d'ouvrage, architectes...), concepteurs (bureaux d'études, ingénieurs-conseils, concepteurs lumière...), metteurs en  œuvre (installateurs...), exploitants industriels et tertiaires (services électriques intégrés, maintenance...), grossistes, distributeurs d'énergie",Print,lux-la-revue-de-l-eclairage::print
MACHINES PRODUCTION,machines-production,Industrie : technologie,"58,1% de PDG/DG, 22,1% directeur/chef de service, 10,5% ingénieur/cadre, 9,2% agent de maîtrise/Technicien.",Print,machines-production::print
MAIRES DE FRANCE,maires-de-france,Collectivités locales,"Elus, secrétaires généraux, directeurs des services techniques et administratifs, présidents d'établissements intercommunaux","Print,Web","maires-de-france::print,maires-de-france::web::350x290,maires-de-france::web::728x120,maires-de-france::web::920x120"
MAISONS ET TRAVAUX PRO,maisons-et-travaux-pro,Bâtiment - Artisanat,Artisans du bâtiment,"Web,NL","maisons-et-travaux-pro::web::1000x90-300x600-300x250mobile,maisons-et-travaux-pro::nl"
MAT ENVIRONNEMENT,mat-environnement,Environnement,Professionnels confrontés au respect de la législation environnementale dans leur choix de matériels et d'équipements,Print,mat-environnement::print
MATERIEL AGRICOLE,materiel-agricole,Machinisme,"Agriculteurs (France entière, moyenne de 120 hectares), entrepreneurs de travaux agricoles, concessionnaires en machinisme agricole",Print,materiel-agricole::print
MATERIEL & PAYSAGE,materiel-paysage,Fleurs - Animalerie,"65% paysagistes, entrepreneurs du paysage, 25% mairies, collectivités, golfs et 10% cibles secondaires",Print,materiel-paysage::print
MEDECINE,medecine,Médecins Généralistes,Support officiel de Développement Professionnel Continu (DPC). Cible: médecins généralistes,Print,medecine::print
MEDECINE ET ENFANCE,medecine-et-enfance,Pédiatrie,"Revue sur la médecine, l'enfance et la pédiatrie.",Print,medecine-et-enfance::print
MEDECINE THERAPEUTIQUE PEDIATRIE,medecine-therapeutique-pediatrie,Pédiatrie,"Pédiatres hospitaliers, pédiatres de ville",Print,medecine-therapeutique-pediatrie::print
MEDIA CSE,media-cse,Ressources Humaines,Elus de CSE & représentants du personnel,Print,media-cse::print
MESURES,mesures,Industrie : technologie,"Décisionnaires stratégiques : Chefs d'entreprise, DG, PDG, Directeurs, Chefs de services. Ingénieurs : Cadres, Chefs de projet",Print,mesures::print
METAL FLASH,metal-flash,Bâtiment - Artisanat,"Entreprises de métallerie, acteurs de la construction et du second œuvre concernés par les ouvrages en métal (maîtres d'ouvrage, architectes, bureaux d'études, économistes de la construction, établissements de la formation)","Print,Web,NL","metal-flash::print,metal-flash::web::300x250,metal-flash::web::728x90,metal-flash::nl"
METAL INDUSTRIES,metal-industries,Industrie : métal,"Industries de formage, assemblage, soudage, traitements de surface des métaux, tôles, profilés et tubes",Print,metal-industries::print
MON OEIL !,mon-oeil,Opticiens,Ophtalmologistes hospitaliers et libéraux,Print,mon-oeil::print
MONDE DE L'EPICERIE FINE,monde-de-l-epicerie-fine,Alimentation,"100% des épiceries fines de France, les commerces de détail (épiciers fins, restaurateurs, cavistes, commerces de bouche haut de gamme...)","Print,Web,NL","monde-de-l-epicerie-fine::print,monde-de-l-epicerie-fine::web::300x250,monde-de-l-epicerie-fine::web::728x90,monde-de-l-epicerie-fine::nl"
MOTEURS & RESEAUX,moteurs-reseaux,Fleurs - Animalerie,Distribution de matériel de création et d'entretien des espaces verts,Print,moteurs-reseaux::print
MY RH LINE,my-rh-line,Ressources Humaines,Professionnels des RH,"Web,NL","my-rh-line::web::728x90-300x250,my-rh-line::nl"
NEPHROLOGIE ET THERAPEUTIQUE,nephrologie-et-therapeutique,Néphrologie,"Néphrologues, urologues, transplanteurs, greffeurs, spécialistes des maladies rénales",Print,nephrologie-et-therapeutique::print
NEUROLOGIES,neurologies,Neurologie,"Neurologues, neuro-gériatres, neurochirurgiens, neuro-pédiatres, neuropsychiatres, rééducateurs fonctionnels",Print,neurologies::print
NEUROPSYCHOLOGIE,neuropsychologie,Neurologie,"Neurologues, psychologues, orthophonistes, neurophysiologistes, psychiatres, pédiatres",Print,neuropsychologie::print
NOTAIRES VIE PROFESSIONNELLE,notaires-vie-professionnelle,Notaires,Actions du conseil supérieur du notariat.,Print,notaires-vie-professionnelle::print
NUTRITION INFOS,nutrition-infos,Nutrition,"spécialistes de la nutrition, médecins nutritionnistes, diététiciens, médecins généralistes, acteurs de la nutrition à l'hôpital, les membres des Clans et des UTNC, les conseillers en nutrition infantile, les pédiatres, les responsables de l'alimentation des personnes âgées, les gériatres et les médecins coordonnateurs en Ehpad",Print,nutrition-infos::print
OBJECTIF SOINS ET MANAGEMENT,objectif-soins-et-management,Hospitalier - Médecine Interne,"Directeurs de sisn, cadres supérieur de santé, cadre de santé, chef de bloc opératoire, directeur d'ifsi,directeurs d'ifas, enseignants, formateurs",Print,objectif-soins-et-management::print
ONKO +,onko,Oncologie,"Oncologues, hématologues, radiothérapeutes, internistes en oncologie et spécialistes d'organes",Print,onko::print
OPA PRATIQUE,opa-pratique,ORL,"ORL Libéraux et Hospitaliers, Pneumologues Libéraux et Hospitaliers, Allergologues Libéraux et Hospitaliers",Print,opa-pratique::print
OPTION BIO,option-bio,Biologistes,"Laboratoires d’analyses de biologie médicale, privés et publics",Print,option-bio::print
OPTION FINANCE,option-finance,Professionnels de la finance,"Conseillers juridiques, avocats, experts comptables, commissaires aux comptes, notaires, DRH, CGP, DG, DAF, cadres d'institutions financières","Print,Web,NL","option-finance::print,option-finance::web::940x250,option-finance::web::300x250,option-finance::nl"
PACK GENERATION DE CLICS GARANTIS,pack-generation-de-clics-garantis,,,Web,pack-generation-de-clics-garantis::web::728x90-300x600-300x250-320x50
PEDIATRIE PRATIQUE,pediatrie-pratique,Pédiatrie,"Pédiatres libéraux et hospitaliers, Médecins Généralistes à tendance Pédiatrie",Print,pediatrie-pratique::print
PETMARKET MAGAZINE,petmarket-magazine,Fleurs - Animalerie,"Animaleries, GSA / BSB, toiletteurs, éleveurs, LISA, jardinerie, fabricants, formateurs, centrale d'achats",Print,petmarket-magazine::print
PHARMA 365,pharma-365,Pharmaciens,"Pharmaciens titulaires, adjoints, équipes officinales, étudiants",Print,pharma-365::print
PHARMACIE RURALE,pharmacie-rurale,Pharmaciens,Pharmaciens d'officines titulaires en milieu rural,Print,pharmacie-rurale::print
PHARMACIEN BUSINESS,pharmacien-business,Pharmaciens,Titulaires qui ont une vision entrepreneuriale de leur métier.,Print,pharmacien-business::print
PHYTOMA,phytoma,Culture,"26% agriculteurs, 31% agro fourniture, 23% prescription, 12% enseignement/recherche, 8% collectivités locales",Print,phytoma::print
PIC,pic,Sécurité,Professionnels du monde de la sécurité et de la santé au travail,Print,pic::print
PIERRE ACTUAL,pierre-actual,Distribution Spécialisée,"Marbiers, tailleurs de pierre, carriers, granitiers, transformateurs, poseurs, graveurs, négociants, constucteurs de machines, fabricants d'outillage, architectes, syndicats professionnels, associations, centres de formations, laboratoires, service techniques de villes, etc,",Print,pierre-actual::print
"PISCINES, SPAS & JARDINS",piscines-spas-jardins,Fleurs - Animalerie,Entreprises de paysage et les Piscinistes,Print,piscines-spas-jardins::print
PLACE DES COMMERCES,place-des-commerces,Immobilier,"80% Acheteurs (commerçants, chefs d'entreprise, franchiseurs), 20% Vendeurs (commerçants, chefs d'entreprise, franchiseurs)",Web,place-des-commerces::web::728x90floorad-300x600-300x250mobile
POINTS DE VENTE,points-de-vente,Commerce de Gros & Distributeurs,Professionnels de la distribution et du commerce organisé,"Print,Web,NL","points-de-vente::print,points-de-vente::web::728x90,points-de-vente::web::300x600,points-de-vente::nl"
PORC MAGAZINE,porc-magazine,Elevage,Professionnels de la filière porcine,Print,porc-magazine::print
PORPHYRE,porphyre,Pharmaciens,Préparateurs et collaborateurs de l'officine,Print,porphyre::print
PRESCRIPTION BETON,prescription-beton,Bâtiment - Artisanat,"Architectes, maîtres d'œuvre et aître d'ouvrage, bureaux d'études, entreprise du bâtiment et tp, utilisateurs de béton (professionnels, particuliers),industriels et recyclage, constructeurs, importateurs, distributeurs syndicats (Acob, FIB, UNICEM)",Print,prescription-beton::print
PREVENTION BTP,prevention-btp,Bâtiment - Artisanat,"Menuisiers, charpentiers, constructeurs, architectectes, industriels",Print,prevention-btp::print
PRIVATE EQUITY,private-equity,Professionnels de la finance,"Fonds d'investissement, conseils, entreprises, banques d'affaires",Print,private-equity::print
PROCEDURES,procedures,Professionnels du droit,"Avocats, Avocats aux conseils, Magistrats, Huissiers de justice, Professeurs, Médiateurs, Juristes d'administrations",Print,procedures::print
PROCESS ALIMENTAIRE,process-alimentaire,Industrie : Alimentation,"Industriels du secteur alimentaire, directeurs d'usine, responsables techniques et production, responsables maintenance, qualité, recherche et développement, responsable marketing, directeurs des achats","Print,Web,NL","process-alimentaire::print,process-alimentaire::web::728x90,process-alimentaire::nl"
PRODUCTION LAITIERE MODERNE,production-laitiere-moderne,Elevage,Professionnels du secteur laitier,Print,production-laitiere-moderne::print
PRODUITS DE LA MER,produits-de-la-mer,Industrie : Alimentation,"Tous les produits de la mer et de l'aquaculture, produits frais, produits congelés, produits traiteurs, conserve, saurisserie, transformation, transport, marketing, règlementation, export.","Print,Web,NL","produits-de-la-mer::print,produits-de-la-mer::web::300x250,produits-de-la-mer::web::1100x140,produits-de-la-mer::nl"
PRODUITS EQUIPEMENTS INDUSTRIELS,produits-equipements-industriels,Industrie : technologie,"Ingénieurs d'études, de production et directions des achats",Print,produits-equipements-industriels::print
PROFESSION ACHAT,profession-achat,Direction Achat,"Directeurs achat et acheteurs, membres du Conseil Naitonal des Achats",Print,profession-achat::print
PROFESSION CARROSSIER,profession-carrossier,Garagistes,"Carrossiers indépendants et réseaux, concessionnaires VP VUL et VI",Print,profession-carrossier::print
PROFESSION CGP,profession-cgp,Professionnels de la finance,"CGP (indépendants et salariés), conseillers en investissements financiers (CIF), gestionnaires de fortune, experts comptables, notaires, fiscalistes,","Print,Web,NL","profession-cgp::print,profession-cgp::web::940x90,profession-cgp::web::250x250,profession-cgp::nl"
PROFESSION PAYSAGISTE,profession-paysagiste,Fleurs - Animalerie,Entreprises de paysage,Print,profession-paysagiste::print
PROFESSION SAGE-FEMME,profession-sage-femme,Kinésithérapie - Sage-femme,Sage - Femme,Print,profession-sage-femme::print
PROJET PAYSAGE(S),projet-paysage-s,Fleurs - Animalerie,"Paysagistes concepteurs, collectivités, bureaux d'études",Print,projet-paysage-s::print
PROTECTION SECURITE MAGAZINE,protection-securite-magazine,Sécurité,"37% professionnels de la sécurité - sureté (Installateurs, Prestataires de services, distributeurs, fabricants, intégrateurs…), 63% utilisateurs/prescripteurs (Direction générale, Direction sécurité - sureté, Services Généraux, Services Achats, Etude et Conseil, Exploitation...)",Print,protection-securite-magazine::print
PSYCHOLOGUES,psychologues,Psychologues,"Praticiens, chercheurs, universitaires, étudiants",Print,psychologues::print
RAYON BOISSONS,rayon-boissons,Commerce de Gros & Distributeurs,"Acheteurs liquides, chefs de rayon liquides, chefs de départements, directeurs hypermarchés, supermarchés, drives, industriels des boissons, négociants en vin…","Print,Web,NL","rayon-boissons::print,rayon-boissons::web::300x250,rayon-boissons::web::728x90,rayon-boissons::nl"
RECUEIL DALLOZ,recueil-dalloz,Professionnels du droit,"Avocats, magistrats, collaborateurs de justice, enseignement, universités, administrations, entreprises",Print,recueil-dalloz::print
RECYCLAGE,recyclage,Environnement,"54% Recycleurs & récupérateurs, 20% Collectivités locales, 15% Industries de MP, 7% Utilisateurs de MP, 4% Associations","Print,Web,NL","recyclage::print,recyclage::web::450x750,recyclage::web::730x100,recyclage::nl"
REFERENCE CARRELAGE,reference-carrelage,Bâtiment - Artisanat,"Carreleurs, maçons, fabricants de carelage, architectes d'intérieur",Print,reference-carrelage::print
REGIONS MAGAZINE (COLLECTIVITES LOCALES),regions-magazine-collectivites-locales,Collectivités locales,"Dirigeants d'entreprises, Collectivités locales",Print,regions-magazine-collectivites-locales::print
REGIONS MAGAZINE (DIRIGEANTS DE TPE/PME),regions-magazine-dirigeants-de-tpe-pme,Dirigeants de TPE/PME,"Dirigeants d'entreprises, Collectivités locales",Print,regions-magazine-dirigeants-de-tpe-pme::print
RELATION CLIENT,relation-client,"Communication, Publicité","Annonceurs, agences de communication, agences de publicités, agences médias, régies publicitaires, médias",Print,relation-client::print
RELATIONS CULTURE,relations-culture,Culture,Professionnels de la distribution agricole,Print,relations-culture::print
REPERES EN GERIATRIE,reperes-en-geriatrie,Gériatrie,"Services hospitaliers de gériatrie et de gérontologie, cliniques gérontologiques, gériatres, gérontologues, médecins spécialisés en gériatrie, paramédicaux spécialisés en gériatrie",Print,reperes-en-geriatrie::print
RESEAUX VRD LIGNES & CANALISATIONS,reseaux-vrd-lignes-canalisations,Travaux publics,"Décideurs et prescripteurs du secteur des travaux publics (canalisateurs, entreprises de VRD…)",Print,reseaux-vrd-lignes-canalisations::print
RESTAURATION COLLECTIVE,restauration-collective,Restauration collective,Dirigeants et gestionnaires de collectivités auto gérées et de sociétés de restauration collective,Print,restauration-collective::print
REUSSIR BOVINS,reussir-bovins,Elevage,Professionnels du secteur bovin,Print,reussir-bovins::print
REUSSIR FRUITS & LEGUMES,reussir-fruits-legumes,Culture,"Producteurs de fruits (arboriculteurs) et de cultures légumières (maraîchers) distributeurs de l'agro-fourniture (coop et négoces) et de l'agro-équipement (concessionnaires), prescripteurs.",Print,reussir-fruits-legumes::print
REUSSIR GRANDES CULTURES,reussir-grandes-cultures,Culture,"Producteurs de grandes cultures, distributeurs de l’agro-fourniture",Print,reussir-grandes-cultures::print
REUSSIR LA CHEVRE,reussir-la-chevre,Elevage,Eleveurs caprins,Print,reussir-la-chevre::print
REUSSIR LAIT,reussir-lait,Elevage,Eleveurs de vaches laitières,Print,reussir-lait::print
REUSSIR PATRE,reussir-patre,Elevage,Eleveurs ovins allaitant et laitiers,Print,reussir-patre::print
REUSSIR PORC,reussir-porc,Elevage,Professionnels de la filière porcine,Print,reussir-porc::print
REUSSIR VIGNE,reussir-vigne,Vigne,"Vignerons (caves particulières), viticulteurs (caves coopératives), distributeurs de l'agrofourniture",Print,reussir-vigne::print
REUSSIR VOLAILLES,reussir-volailles,Elevage,Professionnels de l'aviculture,Print,reussir-volailles::print
REVUE BANQUE,revue-banque,Professionnels de la finance,Groupes Bancaires et Financiers et sociétés d'investissements,"Print,Web,NL","revue-banque::print,revue-banque::web::300x600,revue-banque::web::970x90-320x100mobile,revue-banque::nl"
REVUE DE LA PRATIQUE AVANCEE,revue-de-la-pratique-avancee,Soins Infirmiers,"Infirmiers en pratique avancée, infirmiers cadres de santé, profesisonnels soignants et médico-sociaux",Print,revue-de-la-pratique-avancee::print
REVUE DES COLLECTIVITES LOCALES,revue-des-collectivites-locales,Collectivités locales,"Élus et cadres, DGS, DST",Print,revue-des-collectivites-locales::print
REVUE DES MALADIES RESPIRATOIRES,revue-des-maladies-respiratoires,Pneumologues,"Pneumologues, infectiologues, allergologues, cancérologues",Print,revue-des-maladies-respiratoires::print
REVUE HOSPITALIERE DE FRANCE,revue-hospitaliere-de-france,Hospitalier - Médecine Interne,"Directeurs d'établissements publics, DSI, présidents de CME, chefs de pôles médicaux","Print,Web","revue-hospitaliere-de-france::print,revue-hospitaliere-de-france::web::300x250,revue-hospitaliere-de-france::web::728x90"
RH&M,rh-m,Ressources Humaines,DRH et responsables RH,Print,rh-m::print
RHUMATOS,rhumatos,Rhumatologie,"Rhumatologues, rééducateurs fonctionnels, internistes, médecins du sport, chirurgiens orthopédiques et traumatiques",Print,rhumatos::print
RIA (LA REVUE DE L'INDUSTRIE AGROALIMENTAIRE),ria-la-revue-de-l-industrie-agroalimentaire,Industrie : Alimentation,"31% directions générales, 21% production, 14% Recherche & Développement, 12% qualité, 10% achats, 8% marketing et vente, 4% autres.",Print,"ria-la-revue-de-l-industrie-agroalimentaire::web::970x90-320x120,ria-la-revue-de-l-industrie-agroalimentaire::web::300x600-320x120,ria-la-revue-de-l-industrie-agroalimentaire::nl,ria-la-revue-de-l-industrie-agroalimentaire::print"
ROUTE ACTUALITE,route-actualite,Travaux publics,"Entreprises routières, collectivités territoriales, mairies, entreprises TP",Print,route-actualite::print
RUNGIS ACTUALITES,rungis-actualites,Alimentation,"Commerçants, restaurateurs et grossistes adhérents du Marché de Rungis",Print,rungis-actualites::print
RVI,rvi,Vigne,"Production, commercialisation et distribution des vins en France et dans le monde","Print,Web,NL","rvi::print,rvi::web::728x92,rvi::web::360x360,rvi::nl"
SALLES PROPRES,salles-propres,Propreté,"Ingénierie, ensembliers, équipementiers, distributeurs, en santé, pharma, dispositifs médicaux, agro-alimentaire, micro-électroniques",Print,salles-propres::print
SANTE&TRAVAIL,sante-travail,Médecine du Travail,"Responsables RH, membres CE, responsables prévention et conditions de travail, médecins du travail",Print,sante-travail::print
SCORE 3,score-3,Dirigeants de TPE/PME,"Dirigeants de TPE/PME, cadres dirigeants",Web,score-3::web::1000x90floorad-300x250mobile
SE LOGER BUREAUX COMMERCES,se-loger-bureaux-commerces,Immobilier,"Commerçants, restaurateurs",Web,se-loger-bureaux-commerces::web::300x600-320x50mobile
SERVICES PROPRETE,services-proprete,Propreté,"72% entreprise de propreté,14% grand donneur d'ordre,14% distributeur fabricant, 1%divers",Print,services-proprete::print
SERVIR - ALUMNI DE L'ENA ET DE L'INSP,servir-alumni-de-l-ena-et-de-l-insp,Politique,"Anciens élèves de l'ENA: décideurs de l'Etat, de la fonction publique et des collectivités territoriales",Print,servir-alumni-de-l-ena-et-de-l-insp::print
SILICON,silicon,Direction informatique,"DSI, DAF, Marketing, Logistique, Production, Ressources Humaines","Print,Web,NL","silicon::print,silicon::web::728x90-300x600,silicon::nl"
SMART DSI,smart-dsi,Direction informatique,"Décideurs informatiques, décideurs métiers et professionnels des nouvelles technologies",Print,smart-dsi::print
SMART INTEGRATIONS,smart-integrations,Direction Achat,"Grossistes en électricité, grossistes courant faible, grossistes vidéosurveillance, bureaux d'architecte, bureaux d'études, bailleurs et donneurs d'ordres, installateurs/intégrateurs, électriciens courant faible, professionnels de la vidéosurveillance et de la sécurité en habitat collectif, points de vente grande distribution (inclus les acheteurs grands comptes des GSB/GSS), antennistes et revendeurs AV",Print,smart-integrations::print
SNACKING,snacking,Hôtellerie-Restauration,"Restauration rapide et nomade, cafés, bars, tabacs, débits de boissons, discothèques, traiteurs, organisateurs de réceptions, boulangeries et pâtisseries progressistes,  distribution GSM, salles de cinéma, commerces de détail de carburant, restauration collective, et différents acteurs concernés par le secteur","Print,Web,NL","snacking::print,snacking::web::360x230,snacking::web::360x460,snacking::nl"
SNPDEN,snpden,Education,"Proviseurs, proviseurs adjoints, Principaux, Principaux adjoints","Web,NL","snpden::web::680x160,snpden::nl"
SNPTES,snptes,Education,"Enseignants, chercheurs, ingénieurs recherche, personnels administratifs et techniques",Print,snptes::print
SOCIETE.COM,societe-com,Dirigeants de TPE/PME,"Dirigeants de TPE/PME, cadres dirigeants",Web,societe-com::web::728x90-300x600-300x250mobile
SOUDAGE ET TECHNIQUES CONNEXES,soudage-et-techniques-connexes,Industrie : métal,Industriels utilisateurs du soudage et des procédés d'assemblage,Print,soudage-et-techniques-connexes::print
SPORT STRATEGIES,sport-strategies,"Communication, Publicité","Directeurs marketing, agences et dirigeants de clubs et associations",Web,sport-strategies::web
SPORTECO,sporteco,Collectivités locales,Acteurs de la distribution multisports et magasins spécialisés,Print,sporteco::print
STRATEGIE LOGISTIQUE,strategie-logistique,Industrie : Transport logistique,"P.-D.G., directeur général, directeur logistique, directeur informatique, directeur des opérations, directeur de production, supply chain, manager…","Print,Web,NL","strategie-logistique::print,strategie-logistique::web::728x90,strategie-logistique::web::300x250,strategie-logistique::nl"
STRATEGIES,strategies,"Communication, Publicité","Annonceurs, agences de communication, agences de publicités, agences médias, régies publicitaires, médias","Print,Web,NL","strategies::print,strategies::web::728x90,strategies::web::300x600-300x250mobile,strategies::nl"
SUPPLY CHAIN MAGAZINE,supply-chain-magazine,Industrie : Transport logistique,Décideurs de la Supply Chain,Print,supply-chain-magazine::print
TECHNIC'BAIE,technic-baie,Bâtiment - Artisanat,"Entreprises de fermeture et de protection solaire, prescripteurs, installateurs, donneurs d'ordres: architectes, bureaux d'études, économistes","Print,Web,NL","technic-baie::web::300x250,technic-baie::web::728x90,technic-baie::nl,technic-baie::print"
TECHNIQUES INGENIEUR,techniques-ingenieur,Industrie : technologie,"Ingénieurs, cadres dirigeants, techniciens","Web,NL","techniques-ingenieur::web::728x90footerad-300x250,techniques-ingenieur::nl"
TERRAINS DE SPORTS,terrains-de-sports,Collectivités locales,"Collectivités (services des sports, services techniques)",Print,terrains-de-sports::print
TERRASSEMENTS & CARRIERES,terrassements-carrieres,Travaux publics,Professionnels de l'extraction et entreprises de terrassement,Print,terrassements-carrieres::print
TERRE NET,terre-net,Agriculture,Chefs d'exploitations agricoles,"Print,Web,NL","terre-net::print,terre-net::web::728x90-300x250,terre-net::web::300x600-300x250mobile,terre-net::nl"
TERRE NET + FRANCE AGRICOLE + WEB AGRI + MATÉRIEL AGRICOLE,terre-net-france-agricole-web-agri-mat-riel-agricole,Agriculture,Chefs d'exploitation agricole et agriculteurs,"Web,NL","terre-net-france-agricole-web-agri-materiel-agricole::web::300x600,terre-net-france-agricole-web-agri-materiel-agricole::web::728x90-300x250,terre-net-france-agricole-web-agri-materiel-agricole::nl"
TERRITOIRE  HYDROGENE,territoire-hydrogene,Energies,"12% dirigeants grande entreprise et direction d'investissement,12% organismes consulaires et socio-économiques; 14% membre des cabinets et DGS; 16% ministres et hauts fonctionnaires; 12% élus locaux; 28% élus nationaux; 5% élus européens francophone; 1% divers",Print,territoire-hydrogene::print
THURIES GASTRONOMIE MAGAZINE,thuries-gastronomie-magazine,Hôtellerie-Restauration,"Chefs de cuisine, traiteurs, restaurateurs, hôtels restaurants, pâtissiers,  boulangers, glaciers, chocolatiers, professeurs et élèves des écoles hôtelières",Print,thuries-gastronomie-magazine::print
TOITURE MAGAZINE,toiture-magazine,Bâtiment - Artisanat,"Couvreurs, étancheurs, charpentiers, architectes, prescripteurs, constructeurs, promoteurs et négociants",Print,toiture-magazine::print
TOLERIE MAGAZINE,tolerie-magazine,Industrie : métal,"Chefs d'entreprise, directeurs de production, responsables en bureaux d'études et méthodes, chefs d'ateliers et formateurs utilisant la tôlerie fine de précision et la tôlerie industrielle",Print,tolerie-magazine::print
TOURMAG,tourmag,Tourisme,Professionnels du tourisme et du voyage,Web,tourmag::web::300x150
TRAITEMENTS & MATERIAUX,traitements-materiaux,Industrie : métal,"20% Direction Générale, 20% direction industrielle et technique, 15% direction des achats, 10% responsables méthodes, 10% responsables R&D, 10% techniciens d'ateliers et de labo, 5% bureaux d'études, 5% enseignants, 5% documentation.",Print,traitements-materiaux::print
TRAITS URBAINS,traits-urbains,Collectivités locales,"Elus et techniciens des collectivités, urbanistes",Print,traits-urbains::print
TRANSPORT INFO,transport-info,Industrie : Transport logistique,Entreprises de transport routier de marchandise,"Print,Web,NL","transport-info::print,transport-info::web::970x90-300x250mobile,transport-info::web::970x250-300x250mobile,transport-info::web::300x600-300x250mobile,transport-info::nl"
TRENDS,trends,Hôtellerie-Restauration,"Hôteliers tendances, chaînes de café, restaurants, bars, grossistes, distributeurs, importateurs et entrepositaires",Print,trends::print
TURBULANCES,turbulances,Services,"composé de professionnels du transport sanitaire et de l’urgence (ambulanciers, médecins, SAMU, SMUR, CESU…)",Print,turbulances::print
UNION PRESSE,union-presse,Distribution Spécialisée,Marchands de journaux et professionnels de la presse,Print,union-presse::print
UNIVERS HABITAT,univers-habitat,Ameublement,"Fabricants et distributeurs d'éléctroméanager, bricolage, cusine, ameublement","Web,NL","univers-habitat::web::300x250,univers-habitat::nl"
URBANISME,urbanisme,Collectivités locales,"Décideurs de collectivités locales et acteurs publics, architectes, urbanistes",Print,urbanisme::print
VALEURS VERTES,valeurs-vertes,Environnement,"Dirigeants groupes et PME-PMI, Élus, Financiers, Associations, Ingénieurs, Directeurs marketing, achat, Collectivités territoriales, Hauts fonctionnaires, Etudiants, Particuliers",Print,valeurs-vertes::print
VERRE & MENUISERIE ACTUALITES,verre-menuiserie-actualites,Bâtiment - Artisanat,"Industriels, fabricants, installateurs, storistes, miroitiers, vérandalistes, métalliers, serruriers, maîtres d'ouvrage, prescripteurs, organismes de formation…","Print,Web,NL","verre-menuiserie-actualites::web::1000x90,verre-menuiserie-actualites::web::300x600,verre-menuiserie-actualites::print,verre-menuiserie-actualites::nl"
VERRE & PROTECTIONS MAG,verre-protections-mag,Bâtiment - Artisanat,"Industriels, fabricants, installateurs, storistes, miroitiers, vérandalistes",Print,verre-protections-mag::print
VIANDE MAGAZINE,viande-magazine,Boucherie Charcuterie,"Producteurs, industriels de la transformation, grossistes, distributeurs, détaillants, interprofessions, RHD",Print,viande-magazine::print
VILLAGE-JUSTICE,village-justice,Professionnels du droit,"Avocats, juristes, magistrats, notaires, huissiers, fiscalistes","Web,NL","village-justice::web::1160x200-300x600-320x100mobile,village-justice::nl"
VILLAGE-NOTAIRES,village-notaires,Professionnels du droit,Notaires,"Web,NL","village-notaires::web::728x90-320x100mobile,village-notaires::nl,village-notaires::web::300x600-320x100mobile"
"VILLE,RAIL&TRANSPORTS",ville-rail-transports,Industrie : Transport logistique,Elus et professionnels du transport,Print,ville-rail-transports::print
VIROLOGIE,virologie,Biologistes,"Organe officiel de la Société Française de Virologie. Cible: virologues hospitaliers, infectiologues, hépatologues, biologistes hospitaliers",Print,virologie::print
VITI,viti,Vigne,"Viticulteurs vinifiant et commercialisant leur récolte, distribution (négociants et coopératives), prescripteurs",Print,viti::print
VITISBIO,vitisbio,Vigne,Viticulteurs bio,Print,vitisbio::print
VOCATION ENSEIGNANT,vocation-enseignant,Education,Nouveaux entrants de l'Education nationale,Print,vocation-enseignant::print
VOCATION SERVICE PUBLIC,vocation-service-public,Collectivités locales,"Nouveaux entrants et agents en poste, candidats aux concours et aux recrutements externes et internes",Print,vocation-service-public::print
WEKA,weka,Collectivités locales,"30% Elus et cabinets, 22% DGS et autres directeurs, 13% Services ressources (RH, Innovation, documentation…), 11% Services à la population (communication, tourisme), 9% Services techniques (voiries, DSI), 15% Autres","Print,Web,NL","weka::print,weka::web::728x90-300x600-300x250mobile,weka::nl"
