variant_slug,support,canal,type,date,periodicite,specs_techniques,notes
audio-fr::print,AUDIO INFOS,Print,Bouclage,19/05/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,03/06/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Bouclage,19/05/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,03/06/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Bouclage,10/06/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,25/06/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Bouclage,24/08/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,08/09/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Bouclage,16/09/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,01/10/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Bouclage,19/10/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,03/11/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Bouclage,10/11/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,25/11/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Bouclage,02/12/2026,Mensuel,,
audio-fr::print,AUDIO INFOS,Print,Parution,17/12/2026,Mensuel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,28/02/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,21/03/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,16/05/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,06/06/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,19/09/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,10/10/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Bouclage,14/11/2025,Trimestriel,,
l-autre-cuisine::print,L'AUTRE CUISINE,Print,Parution,05/12/2025,Trimestriel,,
l-auvergnat::print,L'AUVERGNAT,Print,Bouclage,20/01/2026,Bimestriel,,
