variant_slug,support,canal,type,date,periodicite,specs_techniques,notes
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Bouclage,24/1/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Parution,14/2/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Bouclage,28/3/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Parution,18/4/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Bouclage,23/5/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Parution,14/6/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Bouclage,18/7/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Parution,17/8/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Bouclage,3/10/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Parution,31/10/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Bouclage,27/11/2025,Bimestriel,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Parution,19/12/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Bouclage,13/12/2024,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Parution,3/1/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Bouclage,14/2/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Parution,7/3/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Bouclage,13/5/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Parution,3/6/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Bouclage,3/10/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Parution,24/10/2025,Bimestriel,,
artisans-bois::print,ARTISANS & BOIS,Print,Bouclage,21/11/2025,Bimestriel,,
