variant_slug,support,canal,fichier_integre,fichier_url,type_de_format,notes
batiactu::print,BATIACTU,Print,Batiactu.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/1-AdHlY9IxRdV7qqc3WFOQ/2eDZp0AmZ_x3o5vewPguGWuYUvhoWnYo761PJwpwBt2YKUebOluqI83NV7VnGV77YtvxuvS-76eBApSS3MblftessqG4Ud4kmalmASbuWNwMWCKB0J-6HjBaWdlMWzvgTjehlBhi_FP0HOgLsyFAKQevKiAgrjU5O221lHRPhmc/5SuquwyXKBybltBO_sc_fJhLpXc85YU0l4exGhkY-CA),,,
batiment-entretien::print,BATIMENT ENTRETIEN,Print,Bâtiment Entretien.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/MPTtHQs4GKn_JVnuQx_qsg/7a7clIQ6sUmx1woWZdRJvathSifAY4YSjTRfRByv1uEbFW6wQIi_JmiMC7OrmHVvQaljHV1PLqAcqNeySKH1Xj5DVq9ZHmpVuCdCp-zo9-CnhIqVqPx3f0kJeOFyIuyORrlT4uslBsQMBzCcb2phgefB_7xT5x4eDe9ys5_1SgM/vKs9uPf-0D8RGXEhoA7arsqVCtDefPKaxOuKC_SVdmQ),,,
batimetiers::print,BATIMETIERS,Print,batimetiers.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/T_Mz1QlrDmyMM06SEkDYfw/Yt66-QU02b3bOjlvetOELGrCeuq1nDI1G-zUE8E18B4DhMur2gjDuJstwAXZ5rICWVft4DoQLF4tOL8fWVAXq8D4Pu6XHSJUXAFShKEW2m_pkNxlhcDdzIaOn_mGXUKqi2xVT9NXzbsSwyg0fXgZcQUsfzOnyeYaR6kxmrOjnKc/cnbYysEq8Nzg0WaWNzk-B_jy1b2bzG95ncRr5aXAaMY),,,
be-a-boss::print,BE A BOSS,Print,Be a Boss.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/57eL_gJg8tTW2xbsuwKvJg/WYblRtLoIWv5VwfFnp0bIzdtG7tzES6lcUU0_UseOXbGd8h3syI0v7sLKJwlHxujDJOkKlhL8gv5H7xvi6jgQBa9pTupWA8hTaRg6zmYXnlLKxpIeGyOQGX-C2gj089lshoiP_a5x_Yi-kZItHJLHrmF-BpKfXvGXR4LnZSoxrE/Gvn0SLbcLlbxzPzYER4tEAfPveI3pS05ekF87SkES14),,,
beauty-forum::print,BEAUTY FORUM,Print,Beauty forum.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/H2QPIoyysJlEdU4LGPQW4g/VByC3aJL6b--PfTuFmzm38GtJPOeQ7IV46GfCbWBYsWcICiNf-zywrVpKSTFshR71iSiKzUibNFR6gOIa6LwXRjTCunv5dzoa2v3UElG6N1xqKAM0u9WM70gl5yBq848tnxYkGC7_QYzblR144VgsqAuoCFUa1ppiaHB2iHGoAI/DqDKQ7Dbj16yKJXBJf-h0a13W3IV8bEDDNvF0As0rwU),,,
betteravier-fran-ais::print,BETTERAVIER FRANÇAIS,Print,betteravier.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/EEunci_PxpyaIK5JqGjwBg/fEy-Pza1PA9KcRIsAN6_LP6DdTM6Z4fPopy1IJXr5dsXqIc_gavqmVIpLhgPIpBO3EW11UhVbUk4fZPXp6veG1zMlnHx67pbQIX2tUdO-uRLGs0I9sf06POevLfTkW1IGEirms7XE0LoSFyrf2aDmckR62r1_IkFRDejyepr-Lg/Q6gP6FHtts_0FXtiHwETGN7UVq0njAhmL7ZpWo0dIys),,,
biblond::print,BIBLOND,Print,Biblond.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/EWl6XltL4Uxheru2IDj1Jw/buu_O7vLi_A6QHV2P8GGUaSGEJl-rxqNsCc5D0L96QQ3CASbs1RQFPSwzlxJChiM6yALQOG_QAIBPXPLqJED5UJxwtJDHUnlO_8iOwvE04mTQU0WTI1F4a9LXMVdRHMSiNQPDeUauMjFEHoeWn2aTT-AlpnBo2H2PBfTBvqIKwU/ene7ofRojhBXBlb8oIoXQsEQCd20UYePICDOlDHQjL4),,,
biofil::print,BIOFIL,Print,BIOFIL_156_produit.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/EGugv1PoVUmE3StFdj0CuA/IXKCRspl5mVVXwRG-dEV1NrRrORIa6Ll2zWL3A1U-JqLywGQzUxFK2W63ftWR6S2Ld6KaAbBRudQ7TzGAGxC8a5fKF8KlT2HoSIeIr8iWlzp2Go8xBwTLtotvUZmb6yOoQ7Kr42WdCYcIjDLfcUfeKHvdRpwoiPcxX6tbW0v1L0/JOTO4ED7zNpsTVTTUC-q_1EhqeJwMJ_0_dDnTrCSVUA),,,
biologiste-infos::print,BIOLOGISTE INFOS,Print,BIOLOGISTE INFOS.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/UW-hav5g4mpxVQPdMCe5tw/wNPfTNDruBZcCytB16zIrvQQkTJJiT9S1CZAAHP3F7wr1sD6d66jj_zbuyi9LsBYOHI-KiGSAXBRye6ol5Up5UaJ7ihUVM300XryuJs2mSW8xMrkyutUWM6tsF9uzTY3gNGMluS2gDe36PuM-wpLnh0hq3JgAwGjYUtX3hKOAK8/LinUOeVGnUse3tmDlkC47sfLUsDE-Q1004h0I0EwX-g),,,
bois::print,BOIS +,Print,bois+.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/-gwNsn5nGKSyQx0h_AvMvg/KxeEkhjBueM0gMflNNUgSNVZw5Lx8BAuUhfIjNXO5ikk4gBq9g1nt55Rho-EhqYVVUvI310fqVscQRPRCXRKuStapF4uSZrduzp2T_-qxu9pwv_A4MvQ6F-u42PIqA6Rel0E8AwM2G26W9so71zNUw/V295Qpk9-4BZ44cU06TP6mD1dGVCiGUQ-zsyuT43aeU),,,
