variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
destination-climat::print,DESTINATION CLIMAT,destination-climat,Print,Trimestriel,20000,210 x 270,,,,3500,2380
diabete-et-obesite::print,DIABETE ET OBESITE,diabete-et-obesite,Print,Mensuel,3000,210 x 297,,,,8000,5440
diabetologie-pratique::print,DIABETOLOGIE PRATIQUE,diabetologie-pratique,Print,5 Numéros / an,8991,290 x 430,,,,9900,6732
direction-s::print,DIRECTION(S),direction-s,Print,Mensuel,8700,210 x 297,,,,3800,2584
direction::print,DIRECTION,direction,Print,Bimestriel,12000,140x205,,,,2350,1598
droit-de-la-famille::print,DROIT DE LA FAMILLE,droit-de-la-famille,Print,Mensuel,1200,210 x 297,,,,1600,1088
droit-patrimoine::print,DROIT & PATRIMOINE,droit-patrimoine,Print,Mensuel,5000,210 x 297,,,,1600,1088
droit-penal::print,DROIT PENAL,droit-penal,Print,Mensuel,1100,210 x 297,,,,1600,1088
dynamique-entrepreneuriale::print,DYNAMIQUE ENTREPRENEURIALE,dynamique-entrepreneuriale,Print,Bimestriel,68000,194 x 260,,,,15000,10200
eco-reseau::print,ECO RESEAU,eco-reseau,Print,Mensuel,35000,265 x 336,,,,11900,8092
ecommerce::print,ECOMMERCE,ecommerce,Print,4 Numéros / an,9500,210 x 280,,,,7000,4760
educ-mag::print,EDUC'MAG,educ-mag,Print,Trimestriel,73294,,,,,8900,6052
egora::print,EGORA,egora,Print,Bimensuel,22000,210 x 270,,,,15500,10540
electricien::print,ELECTRICIEN +,electricien,Print,4 numéros,5000,210 x 297,,,,3400,2312
electroniques::print,ELECTRONIQUES,electroniques,Print,Mensuel,10000,210 x 297,,,,8600,5848
emarketing::print,EMARKETING,emarketing,Print,4 Numéros / an,13500,210 x 280,,,,7500,5100
energie-plus::print,ENERGIE PLUS,energie-plus,Print,Bimensuel,2500,210 x 270,,,,5295,3600.6
entreprendre::print,ENTREPRENDRE,entreprendre,Print,Mensuel,35000,195 x 260,,,,7800,5304
